W969 W3 W3 W3 W3 W2 W3 W3 W2 W2 W2 W3 W3 W3 W3 W3 W3 W3 W3 W3 #PB#1 
W8 W9 W9 W9 W9 W8 W8 W9 W801 W9 W8 W8 W9 W8 W9 W8 W339 W9 W8 W9 #PB#0 
W1 W1 W896 W1 W1 W1 W1 W0 W0 W0 W0 W0 W1 W0 W0 W0 W622 W0 W0 W1 #PB#0 
W10 W11 W10 W11 W643 W11 W10 W11 W11 W10 W10 W11 W11 W10 W10 W11 W10 W307 W10 W11 #PB#1 
W11 W11 W10 W11 W683 W11 W10 W10 W10 W11 W11 W10 W11 W11 W840 W10 W10 W10 W11 W10 #PB#1 
W9 W9 W9 W8 W9 W8 W873 W8 W9 W8 W8 W9 W8 W379 W8 W8 W9 W8 W9 W8 #PB#0 
W11 W11 W11 W10 W11 W11 W11 W11 W11 W10 W10 W11 W10 W11 W10 W10 W614 W605 W11 W11 #PB#1 
W9 W9 W9 W8 W9 W9 W9 W8 W420 W8 W9 W8 W8 W8 W8 W9 W8 W8 W8 W8 #PB#0 
W9 W8 W8 W8 W9 W8 W9 W8 W8 W274 W8 W8 W9 W8 W9 W831 W8 W9 W9 W8 #PB#0 
W15 W14 W14 W14 W15 W14 W873 W14 W180 W351 W14 W15 W16 W15 W15 W15 W14 W15 W14 W893 #PB#3 
W719 W11 W11 W11 W842 W556 W11 W11 W11 W10 W10 W11 W11 W10 W11 W11 W726 W10 W11 W10 #PB#1 
W10 W446 W10 W11 W10 W10 W11 W11 W285 W10 W10 W11 W10 W10 W10 W11 W10 W10 W11 W11 #PB#1 
W7 W7 W6 W6 W6 W6 W7 W6 W6 W7 W6 W7 W7 W118 W7 W7 W6 W7 W6 W6 #PB#3 
W8 W9 W9 W9 W367 W9 W8 W9 W9 W8 W8 W9 W8 W8 W9 W8 W8 W8 W9 W9 #PB#0 
W7 W7 W6 W7 W6 W6 W6 W7 W319 W6 W6 W6 W7 W7 W6 W7 W7 W6 W7 W6 #PB#3 
W10 W11 W10 W11 W10 W11 W11 W10 W11 W10 W10 W10 W10 W10 W10 W11 W10 W11 W74 W10 #PB#1 
W8 W9 W9 W8 W8 W9 W9 W9 W328 W8 W9 W855 W650 W9 W9 W9 W9 W8 W9 W9 #PB#0 
W10 W10 W11 W11 W11 W11 W11 W10 W380 W11 W259 W11 W11 W11 W494 W488 W10 W10 W11 W10 #PB#1 
W11 W10 W935 W555 W10 W10 W11 W11 W11 W10 W11 W10 W11 W10 W10 W11 W10 W11 W11 W11 #PB#1 
W10 W11 W10 W11 W10 W10 W11 W10 W11 W11 W10 W11 W11 W11 W10 W11 W10 W10 W10 W11 #PB#1 
